timestamp,text,sentiment,user,platform,hashtags,retweets,likes,country,year,month,day,hour
2023-01-15 12:30:00,enjoying beautiful day park, Positive  , User123      , Twitter  , #Nature #Park                            ,15.0,30.0, USA      ,2023,1,15,12
2023-01-15 08:45:00,traffic terrible morning, Negative  , CommuterX    , Twitter  , #Traffic #Morning                        ,5.0,10.0, Canada   ,2023,1,15,8
2023-01-15 15:45:00,finished amazing workout , Positive  , FitnessFan   , Instagram , #Fitness #Workout                        ,20.0,40.0, USA        ,2023,1,15,15
2023-01-15 18:20:00,excited upcoming weekend getaway, Positive  , AdventureX   , Facebook , #Travel #Adventure                       ,8.0,15.0, UK       ,2023,1,15,18
2023-01-15 19:55:00,trying new recipe dinner tonight, Neutral   , ChefCook     , Instagram , #Cooking #Food                           ,12.0,25.0, Australia ,2023,1,15,19
2023-01-16 09:10:00,feeling grateful little things life, Positive  , GratitudeNow , Twitter  , #Gratitude #PositiveVibes              ,25.0,50.0, India    ,2023,1,16,9
2023-01-16 14:45:00,rainy days call cozy blankets hot cocoa, Positive  , RainyDays    , Facebook , #RainyDays #Cozy                         ,10.0,20.0, Canada   ,2023,1,16,14
2023-01-16 19:30:00,new movie release mustwatch, Positive  , MovieBuff    , Instagram , #MovieNight #MustWatch                  ,15.0,30.0, USA    ,2023,1,16,19
2023-01-17 08:00:00,political discussions heating timeline, Negative  , DebateTalk   , Twitter  , #Politics #Debate                       ,30.0,60.0, USA      ,2023,1,17,8
2023-01-17 12:20:00,missing summer vibes beach days, Neutral   , BeachLover   , Facebook , #Summer #BeachDays                      ,18.0,35.0, Australia ,2023,1,17,12
2023-01-17 15:15:00,published new blog post check out, Positive  , BloggerX     , Instagram , #Blogging #NewPost                      ,22.0,45.0,USA,2023,1,17,15
2023-01-18 10:30:00,feeling bit weather today, Negative  , WellnessCheck, Twitter  , #SickDay #Health                        ,7.0,15.0, Canada   ,2023,1,18,10
2023-01-18 14:50:00,exploring citys hidden gems, Positive  , UrbanExplorer, Facebook , #CityExplore #HiddenGems                ,12.0,25.0, UK       ,2023,1,18,14
2023-01-18 18:00:00,new year new fitness goals , Positive  , FitJourney   , Instagram , #NewYear #FitnessGoals                  ,28.0,55.0, USA        ,2023,1,18,18
2023-01-19 09:45:00,technology changing way live, Neutral   , TechEnthusiast, Twitter  , #Tech #Innovation                       ,15.0,30.0, India    ,2023,1,19,9
2023-01-19 13:20:00,reflecting past looking ahead, Positive  , Reflections  , Facebook , #Reflection #Future                     ,20.0,40.0, USA      ,2023,1,19,13
2023-01-19 17:10:00,adopted cute furry friend , Positive  , PetAdopter   , Instagram , #PetAdoption #FurryFriend               ,15.0,30.0, Canada    ,2023,1,19,17
2023-01-20 00:05:00,latenight gaming session friends, Positive  , GamerX       , Twitter  , #Gaming #LateNight                      ,18.0,35.0, UK       ,2023,1,20,0
2023-01-20 11:30:00,attending virtual conference ai, Neutral   , TechConference, Facebook , #AI #TechConference                     ,25.0,50.0,USA,2023,1,20,11
2023-01-20 15:15:00,winter blues got feeling low, Negative  , WinterBlues  , Instagram , #WinterBlues #Mood                      ,8.0,15.0, USA       ,2023,1,20,15
2023-01-21 08:40:00,sipping coffee enjoying good book, Positive  , Bookworm     , Twitter  , #Reading #CoffeeTime                    ,22.0,45.0, India    ,2023,1,21,8
2023-01-21 13:20:00,exploring world virtual reality, Positive  , VRExplorer   , Facebook , #VR #VirtualReality                     ,15.0,30.0,USA,2023,1,21,13
2023-01-21 16:45:00,productive day ticking todo list, Positive  , ProductivityPro, Instagram , #Productivity #WorkFromHome           ,30.0,60.0, USA ,2023,1,21,16
2023-01-22 09:15:00,finished challenging workout routine, Positive  , FitnessWarrior, Twitter  , #Fitness #ChallengeAccepted             ,20.0,40.0, UK       ,2023,1,22,9
2023-01-22 14:30:00,celebrating milestone work , Positive  , CareerMilestone, Facebook , #Career #Milestone                      ,12.0,25.0, Canada  ,2023,1,22,14
2023-01-22 12:00:00,sunday brunch friends, Positive  , BrunchBuddy  , Instagram , #Brunch #Friends                       ,15.0,30.0, UK ,2023,1,22,12
2023-01-23 16:20:00,learning new language personal growth, Positive  , LanguageLearner, Facebook , #LanguageLearning #PersonalGrowth       ,25.0,50.0, India     ,2023,1,23,16
2023-01-23 19:45:00,quiet evening good book, Positive  , BookLover    , Instagram , #Reading #QuietTime                     ,15.0,30.0, Australia ,2023,1,23,19
2023-01-24 11:30:00,reflecting importance mental health, Positive  , MentalHealthMatters, Twitter  , #MentalHealth #SelfCare                 ,22.0,45.0, USA      ,2023,1,24,11
2023-01-24 15:00:00,new painting progress , Positive  , ArtistInAction, Facebook , #Art #PaintingInProgress             ,12.0,25.0, Canada ,2023,1,24,15
2023-01-24 17:30:00,weekend road trip explore scenic views, Positive  , RoadTripper  , Instagram , #RoadTrip #ScenicViews                  ,18.0,35.0, UK        ,2023,1,24,17
2023-01-25 18:00:00,enjoying cup tea watching sunset, Positive  , SunsetWatcher, Twitter  , #TeaTime #Sunset                       ,15.0,30.0, India    ,2023,1,25,18
2023-01-25 13:15:00,coding new project enthusiasm, Positive  , CodeEnthusiast, Facebook , #Coding #Enthusiasm                   ,30.0,60.0, USA ,2023,1,25,13
2023-01-26 09:45:00,feeling inspired attending workshop, Positive  , WorkshopAttendee, Instagram , #Inspiration #Workshop                  ,25.0,50.0,USA,2023,1,26,9
2023-01-26 14:20:00,winter sports day local park, Positive  , WinterSports  , Twitter  , #WinterSports #Fun                     ,15.0,30.0, Canada   ,2023,1,26,14
